brand,type,gender,last_type,material,lining_material,sole_material,season,made_in,insole_material,Name,Rating,Code,CMR Price,Event Price,Full Price,discipline,interior_material,CMR Discount,Event Discount
Diadora,Tenis deportivos,Niño,Normal,Sintético,,Sintético,Toda temporada,China,Textil,Tenis Diadora Sporty6 para Niño,4.7,Código: 882888204,99990.0,109990.0,129990.0,,Poliéster,23.08,15.39
On Running,Tenis moda,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Vietnam,,Tenis Blancos On Running Hombre The Roger Advantage,,Código: 72717844,639990.0,719990.0,799990.0,,,20.0,10.0
Asics,Tenis,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Asics para Mujer Running Gt 1000 12,,Código: 71282069,384990.0,439990.0,549990.0,Running,,30.0,20.0
Sybilla,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Moda Sybilla Cadisinew Mujer,3.5,Código: 882659688,,,,,,,
Adidas Originals,Tenis moda,Mujer,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas Originals Mujer Moda Gazelle Bold W,5.0,Código: 72712261,,,649950.0,,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Summits Free Classics,,Código: 72890310,179990.0,199990.0,279900.0,Lifestyle,,35.69,28.55
Nike,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Goma,Toda temporada,India,Malla (Nylon),Tenis Nike para Hombre Moda Court Vision Low,4.5,Código: 23586108,,,399990.0,Lifestyle,,,
Reebok,Tenis moda,Hombre,Normal,Cuero,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Reebok para Hombre Moda Bb 4000 II,5.0,Código: 72815916,,,439900.0,,,,
Diadora,Tenis moda,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Diadora Hombre Moda Halumy,5.0,Código: 882803676,,,,Lifestyle,,,
Puma,Tenis moda,Niña,Normal,Sintético,,Caucho,Toda temporada,China,Textil,Tenis Puma Rickie Niña,4.8,Código: 68757580,195890.0,223889.99999999997,279900.0,,Textil,30.01,20.01
Adidas,Tenis deportivos,Unisex,Normal,Cuero,Textil,Caucho,Toda temporada,China,Textil,Tenis Adidas Forum Low Unisex Infantil,4.9,Código: 72781251,,,499950.0,Lifestyle,,,
Nike,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Nike para Hombre Moda Air Max Sc C/O,4.6,Código: 60558694,,,664990.0,,,,
Reebok,Tenis moda,Hombre,Normal,Cuero,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Reebok para Hombre Moda Classic,,Código: 72815744,,,349900.0,,,,
Nike,Tenis deportivos,Hombre,Normal,Sintético,,Sintético,Toda temporada,Vietnam,Poliéster,Guayos Nike para Hombre Vapor 15 Club Fg/Mg,,Código: 72783696,,,359950.0,Fútbol,Poliéster,,
On Running,Tenis moda,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis On Running para Hombre Cross training Cloudnova Form,,Código: 72736479,,,899990.0,,,,
Adidas,Tenis moda,Unisex bebé,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Advantage Cf I Unisex con Velcro,4.7,Código: 72881989,,,239950.0,,,,
Reebok,Tenis deportivos,Hombre,Normal,Sintético,,Goma,Toda temporada,China,,Tenis Deportivos Reebok para Hombre de Running Energen Tech,5.0,Código: 72790743,,,349990.0,Running,Textil,,
Diadora,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,Tenis Diadora para Mujer Moda Court7,4.5,Código: 883016862,,,149990.0,Lifestyle,,,
Puma,Tenis moda,Niño,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Textil,Tenis Puma Wired Run Niño,4.6,Código: 68757529,181990.0,207990.0,259990.0,,Textil,30.0,20.0
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Sintético,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Hombre Moda Skechaircourt Homegr,5.0,Código: 72823043,,,319990.0,,,,
Mountain Gear,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Mountain Gear para Mujer Trekking Anitaalt,5.0,Código: 883020221,,,239990.0,Trekking,,,
Reebok,Tenis moda,Niña,Normal,Cuero,,Goma,Toda temporada,China,Textil,Tenis Reebok Kids Classic Le para Niña,,Código: 72793507,174890.0,199890.0,249900.0,,Textil,30.02,20.01
Reebok,Tenis deportivos,Hombre,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Hombre Running Energen Lux,4.8,Código: 72713866,,,219900.0,Running,,,
Mountain Gear,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Mountain Gear Hombre Outdoor Bontynalt,4.4,Código: 882678473,135990.0,,,Outdoor,,,
Converse,Tenis moda,Unisex,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Converse Unisex Moda Chuck Taylor All Star,5.0,Código: 72807841,,,399990.0,,,,
Skechers,Tenis moda,Niña,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis moda Skechers Microspec Max Brights para Niña,,Código: 72890108,,,199990.0,,,,
Coniglio,Tenis moda,Niña,Normal,Sintético,,Caucho,Toda temporada,China,Poliéster,Tenis Coniglio Embro Bl1 para Niña,5.0,Código: 882837998,71990.0,83990.0,119990.0,,Textil,40.0,30.0
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Hombre Running Adidas Switch Move,4.8,Código: 72712365,,,299990.0,Running,,,
Veja,Tenis moda,Hombre,Normal,Sintético,,Caucho,Toda temporada,Brasil,Textil,Tenis Veja para Hombre Moda Urca,5.0,Código: 72783255,,,999990.0,,Poliéster,,
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Hombre Moda Bounder2.0 Andal,5.0,Código: 72823070,,,299990.0,,,,
Puma,Tenis moda,Mujer,Normal,Cuero,Sintético,Caucho,Toda temporada,Vietnam,Textil,Tenis Puma Mujer Moda Mayze LTH,4.9,Código: 68696600,,,619900.0,,,,
Adidas,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Mujer Moda Grand Court Base 2,4.3,Código: 72888808,,,299990.0,Lifestyle,,,
Reebok,Tenis moda,Hombre,Normal,Cuero,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Hombre Moda Ex-O-Fit Hi,4.8,Código: 72714142,,,389990.0,Lifestyle,,,
Asics,Tenis,Mujer,Normal,Sintético,Poliéster,Caucho,Toda temporada,Camboya,Poliéster,Tenis Asics para Mujer Running Gel Contend 8,4.8,Código: 71281984,,,349990.0,Running,,,
Call It Spring,Tenis moda,Hombre,Normal,Sintético,Poliéster,Sintético,Toda temporada,China,Poliéster,Tenis Call It Spring Hombre Moda Beacon,4.7,Código: 71235904,125990.0,146990.0,209990.0,,,40.0,30.0
Reebok,Tenis,Hombre,Normal,Tela,Textil,Goma,Toda temporada,China,Textil,Tenis Reebok para Hombre Cross Training Flexagon Energy | Tenis para Hombre de Cross Training Color Gris,5.0,Código: 72815809,,,249900.0,Cross training,,,
New Balance,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,,Tenis New Balance Mujer Running D1,4.8,Código: 62387943,,,557990.0,Running,,,
Puma,Tenis moda,Niño,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Puma Rickie para Niño,5.0,Código: 72722136,,,289900.0,,,,
Diadora,Tenis,Mujer,Normal,Sintético,Sintético,Caucho,Toda temporada,China,Sintético,Tenis Diadora para Mujer Running Eagle,4.7,Código: 882861193,119990.0,139990.0,199990.0,Running,,40.0,30.0
Reebok,Tenis,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok para Mujer Cross training Nano X3,5.0,Código: 72771745,377990.0,431990.0,539990.0,Cross training,,30.0,20.0
Paw Patrol,Tenis con luces,Niña,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis con Luces Paw Patrol para Niña,5.0,Código: 883020595,83990.0,97990.0,139990.0,,,40.0,30.0
Skechers,Tenis moda,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Skechers para Hombre Moda Maxprotectspt Balmer,5.0,Código: 72812810,,,399990.0,,,,
Aldo,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,Toda temporada,Suiza,Poliéster,Tenis Aldo para Mujer Moda Reia,4.5,Código: 72853483,,,359990.0,Lifestyle,,,
Skechers,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis blancos cómodos Skechers para mujer. Zapatillas moda Cross training Go Run consistent Energize,4.2,Código: 62967076,,,299990.0,Cross training,,,
Diadora,Tenis deportivos,Niña,Normal,Tela,,TPR,Toda temporada,China,Textil,Tenis Diadora Aboltex para Niña,5.0,Código: 882816660,,,129990.0,,Textil,,
Hoka,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Otoño-Invierno,Vietnam,Textil,Tenis Hoka para Mujer Running Challenger ATR 7,,Código: 72863201,,,749990.0,Running,,,
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Moda AlphaEdge +,4.8,Código: 72781152,,,419950.0,,,,
adidas,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,Tenis Adidas para Hombre Moda Breaknet 2.0,4.7,Código: 61123484,,,349950.0,Lifestyle,,,
Diadora,Tenis moda,Niño,,Sintético,,Sintético,Toda temporada,China,,Tenis Diadora Abolt4 Niño Velcro,4.4,Código: 882663875,,,,,Sintético,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Glide Stepswift Quic,5.0,Código: 72791621,251990.0,293990.0,419990.0,,Poliéster,40.0,30.0
Adidas,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Mujer Running Duramo Sl W,4.8,Código: 72712600,244990.0,279990.0,349950.0,Running,,29.99,19.99
Asics,Tenis deportivos,Hombre,Normal,Sintético,Poliuretano,Caucho,Toda temporada,Vietnam,Textil,Tenis Asics Hombre Running Noosa Tri 15,5.0,Código: 71279067,,,669990.0,Running,,,
On Running,Tenis moda,Hombre,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis On Running para Hombre Cross training Cloud 5,,Código: 72736530,,,799990.0,,,,
Adidas,Guayos,Hombre,Normal,Sintético,Textil,Sintético,Toda temporada,Myanmar,Textil,Guayos Adidas para Hombre Deportivo II FxG,4.7,Código: 72888744,,,229990.0,Fútbol,,,
Diadora,Tenis moda,Niño,Normal,Sintético,,Sintético,Toda temporada,China,Sintético,Tenis Diadora Boy Crego 7 para Niño,4.9,Código: 882817636,99990.0,109990.0,139990.0,,Sintético,28.57,21.43
Asics,Tenis deportivos,Mujer,Normal,Sintético,Poliéster,Caucho,Otoño-Invierno,Vietnam,Poliéster,Tenis Asics para Mujer Running Novablast 4 Tr,5.0,Código: 72902057,,,699990.0,Running,,,
Nike,Tenis moda,Hombre,Normal,Cuero,,Goma,Toda temporada,Vietnam,Poliéster,Tenis Nike para Hombre Moda Air Max Excee,,Código: 72784090,,,569950.0,,Poliéster,,
Bearcliff,Tenis moda,Hombre,Normal,Tela,Textil,Goma,Toda temporada,China,Textil,Tenis Bearcliff Hombre Moda Atrillon,4.9,Código: 882814681,79990.0,,,,,,
Steven Madden,Tenis moda,Mujer,Normal,Sintético,,Sintético,Toda temporada,China,Textil,Tenis Steven Madden para Mujer Moda Possession-R2 | Tenis de Moda para Mujer Color Blanco,,Código: 72800073,423190.0,,,,Textil,,
Sybilla,Tenis moda,Mujer,Normal,Sintético,Poliéster,Sintético,Toda temporada,China,Poliéster,Tenis Sybilla para Mujer Moda Abasib2,5.0,Código: 882994613,99990.0,,,Lifestyle,,,
Converse,Tenis moda,Unisex,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Converse Chuck Taylor All Star Unisex Infantil,,Código: 72813801,157490.0,179990.0,224990.0,,,30.0,20.0
Asics,Tenis deportivos,Hombre,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,Tenis Asics Hombre Running Gel-Nagoya 5,4.8,Código: 72713721,295990.0,,,Running,,,
Converse,Tenis moda,Mujer,Grande,Tela,,Caucho,Toda temporada,China,Poliéster,Tenis Converse para Mujer Moda Chuck Taylor All Star Lift,5.0,Código: 71195835,279990.0,319990.0,399990.0,,Poliéster,30.0,20.0
Diadora,Tenis moda,Niño,Normal,Sintético,Textil,Sintético,Toda temporada,China,Textil,Tenis Moda Diadora Boy Askate para Niño,4.8,Código: 883001637,99990.0,109990.0,139990.0,,,28.57,21.43
Aldo,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Suiza,Poliéster,Tenis Aldo para Mujer Moda Rosecloud,5.0,Código: 72826355,,,369990.0,Lifestyle,,,
Adidas,Guayos,Hombre,Normal,Sintético,,Sintético,Toda temporada,Camboya,Textil,Guayos Adidas para Hombre Crazyfast.4 Multiterreno | Zapatilla de Fútbol Con Taches Color Azul,4.4,Código: 72801590,,,339950.0,Fútbol,Textil,,
Hoka,Tenis,Hombre,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Hoka para Hombre Running Bondi 8,5.0,Código: 72783130,,,899990.0,Running,,,
Reebok,Tenis moda,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Reebok para Mujer Moda Classic Leather,5.0,Código: 72771070,258990.0,295990.0,369990.0,,,30.0,20.0
On Running,Tenis deportivos,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,Tenis deportivo On Running Running Mujer Cloudflyer 4,5.0,Código: 48607767,,,999990.0,Running,,,
Reebok,Tenis moda,Niño,Normal,Cuero,Textil,Goma,Toda temporada,China,Textil,Tenis Reebok Classic para Niño,5.0,Código: 72815441,174890.0,199890.0,249900.0,,,30.02,20.01
On Running,Tenis,Mujer,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Poliéster,Tenis On Running para Mujer Running Cloudswift,,Código: 72736711,,,949990.0,Running,Poliéster,,
Reebok,Tenis deportivos,Hombre,Normal,Tela,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok Hombre Running Reebok Lite 3,4.6,Código: 72713901,,,219900.0,Running,,,
Adidas,Tenis moda,Niña,Normal,Sintético,Sintético,Caucho,Toda temporada,Indonesia,,Tenis Adidas Tensaur Sport C para Niña Velcro,4.8,Código: 39703230,167990.0,191990.0,239950.0,,,29.99,19.99
Converse,Tenis moda,Unisex,Normal,Tela,Poliéster,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Converse Unisex Moda Chuck Taylor All Star,5.0,Código: 72807285,,,299990.0,,,,
Reebok,Tenis,Hombre,Normal,Sintético,Sintético,Goma,Toda temporada,Vietnam,Sintético,Tenis Reebok para Hombre Running Nanoflex Adventure Tr 2,,Código: 72771729,,,389990.0,Running,,,
Skechers,Tenis moda,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Sintético,Tenis Skechers Mujer - Zapatos Skechers Dama. Tenis cómodos Skechers para mujer. Zapatillas moda Ultraflex 3.0,4.5,Código: 66228460,257990.0,300990.0,429990.0,,Poliéster,40.0,30.0
ELV,Tenis moda,Niña,Normal,Tela,,Goma,Toda temporada,China,Sintético,Tenis ELV Canlow Negro para Niña,4.8,Código: 882812701,65990.0,76990.0,109990.0,,Textil,40.0,30.0
Adidas,Tenis moda,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Birmania,Textil,Tenis Adidas para Hombre Moda CourtBeat adidas Court Lifestyle,4.8,Código: 72781009,,,329950.0,,,,
Under Armour,Tenis,Mujer,Normal,Tela,Textil,Goma,Toda temporada,Vietnam,Textil,Tenis Under Armour para Mujer Running Charged Breeze 2 | Zapatillas Under Armour Charged Breeze 2,,Código: 72763456,328990.0,375990.0,469990.0,Running,,30.0,20.0
Skechers,Tenis moda,Mujer,Normal,Cuero,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Skechers para Mujer Moda Sportcourt 92 Illustrious | Tenis de moda Negros Skechers para Mujer con suela blanca,4.0,Código: 72826790,,,319990.0,,,,
Skechers,Tenis moda,Niña,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Moda Skechers Unolite Spreadthelov para Niña | Tenis Skechers para niña diseño Corazones,4.0,Código: 72838629,,,269990.0,,,,
Aldo,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Suiza,Poliéster,Tenis Aldo para Mujer Moda Meadow,5.0,Código: 72826417,,,349990.0,Lifestyle,,,
Nike,Tenis moda,Hombre,Normal,Cuero,,Goma,Toda temporada,Indonesia,Poliéster,Tenis Nike para Hombre Moda Court Royale 2 Mid,4.7,Código: 72784021,,,369950.0,,Poliéster,,
Adidas,Guayos,Unisex,Normal,Sintético,Textil,Sintético,Toda temporada,Camboya,Textil,Guayos Adidas Crazyfast.4 Unisex,5.0,Código: 72810115,195990.0,223990.0,279950.0,,,29.99,19.99
Adidas,Tenis,Hombre,Normal,Tela,,Sintético,Toda temporada,Indonesia,Textil,Tenis Adidas para Hombre Running Lite Racer 3.0,4.7,Código: 72781135,,,319950.0,Running,Textil,,
Adidas,Guayos,Hombre,Normal,Sintético,,Sintético,Toda temporada,Myanmar,Textil,Guayos Adidas Copa Pure II.4 Multiterreno,5.0,Código: 72781070,,,339950.0,Fútbol,Textil,,
Puma,Guayos,Hombre,Normal,Sintético,,Sintético,Toda temporada,Camboya,Textil,Guayos Puma con taches para Hombre Attacanto Fg/Ag,,Código: 72794423,,,309900.0,Fútbol,Textil,,
Skechers,Tenis moda,Niña,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Moda Skechers Unolite Spreadthelov para Niña | Tenis Skechers para niña diseño Corazones,,Código: 72838642,,,249900.0,,,,
New Balance,Tenis moda,Mujer,Normal,Sintético,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis New Balance para Mujer Moda 997H,,Código: 72735515,418590.0,478390.0,597990.0,,,30.0,20.0
Skechers,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis Skechers Slip In Mujer Manos Libres | Zapatos Skechers Dama | Tenis gris cómodos Skechers para mujer | Zapatillas moda Ultraflex 3 |0,5.0,Código: 69670228,221889.99999999997,258889.99999999997,369900.0,,,40.01,30.01
Puma,Guayos,Hombre,Normal,Sintético,,Sintético,Toda temporada,Camboya,Textil,Guayos Puma con taches para Hombre Attacanto Fg/Ag,,Código: 72794341,,,309900.0,Fútbol,Textil,,
Veja,Tenis moda,Mujer,Normal,Sintético,Sintético,Goma,Toda temporada,Brasil,,Tenis moda Veja Dekkan Mujer,5.0,Código: 62676967,,,1059990.0,,,,
Adidas,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Indonesia,Textil,Tenis Adidas Hombre Running  Switch Move U,4.9,Código: 71786722,,,299990.0,Running,,,
Skechers,Tenis con luces,Niña,Normal,Sintético,,Goma,Toda temporada,China,Poliéster,Tenis con luces Skechers Flutter Heart Lights para Niña Velcro,4.4,Código: 71200129,160889.99999999997,183890.0,229900.0,,Poliéster,30.02,20.01
Skechers,Tenis moda,Niño,Normal,Sintético,Poliéster,Goma,Toda temporada,Vietnam,Poliéster,Tenis moda Skechers Razor Flex Air para Niño Velcro,,Código: 72882979,,,219990.0,,,,
Asics,Tenis deportivos,Mujer,Normal,Tela,,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Asics para Mujer Running Evoride Speed,5.0,Código: 72800867,,,599990.0,Running,Poliéster,,
Call it Spring,Tenis moda,Mujer,Normal,Sintético,,Sintético,Toda temporada,China,,Tenis moda Call it Spring Ivey Mujer,4.8,Código: 51935753,175990.0,,,,Poliéster,,
Diadora,Tenis deportivos,Niña,Normal,Sintético,,Sintético,Toda temporada,China,Textil,Tenis Diadora Sporty6 para Niña,5.0,Código: 882888348,99990.0,109990.0,129990.0,,Poliéster,23.08,15.39
Adidas,Tenis,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas para Mujer Moda Tenis Breaknet 2.0,4.5,Código: 72094131,,,349950.0,Lifestyle,,,
On Running,Tenis moda,Mujer,Normal,Sintético,,Caucho,Toda temporada,Vietnam,Sintético,Tenis On Running Mujer Moda THE ROGER Advantage,,Código: 70110749,,,799990.0,,Sintético,,
Reebok,Tenis moda,Niña,Normal,Tela,,Goma,Toda temporada,China,Textil,Tenis Reebok Rus Runner para Niña,5.0,Código: 63117973,139990.0,159990.0,199990.0,,Textil,30.0,20.0
La Martina,Tenis moda,Hombre,Normal,Sintético,Poliuretano,Goma,Toda temporada,China,Cuero,Tenis La Martina para Hombre Moda Adolfo,4.8,Código: 883028884,,,249990.0,Lifestyle,,,
On Running,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,Tenis On Running Hombre Running Cloud X 3,,Código: 48607746,,,899990.0,Running,,,
Puma,Tenis moda,Niño,,Tela,,Caucho,Toda temporada,China,,Tenis Puma Transport AC Ps Niño Velcro,4.8,Código: 63114245,195890.0,223889.99999999997,279900.0,,Textil,30.01,20.01
Puma,Tenis moda,Niña,Normal,Sintético,Textil,Caucho,Toda temporada,China,Textil,Tenis moda Puma Caven 2.0 Block Ac Ps para Niña Velcro,,Código: 72881612,,,279990.0,,,,
Asics,Tenis moda,Niña,Normal,Sintético,Poliéster,Caucho,Toda temporada,Brasil,Poliéster,Tenis Asics Fantasy 4 Ps para Niña Velcro,,Código: 72835927,155990.0,181990.0,259990.0,,,40.0,30.0
On Running,Tenis deportivos,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,,Tenis On Running Hombre Running Cloudflow,4.5,Código: 48610378,,,799990.0,Running,,,
Fratta,Tenis,Hombre,Normal,Tela,Malla (nylon),Goma,Toda temporada,China,Malla (Nylon),Tenis Fratta para Hombre Running Zoenty,,Código: 883014497,77990.0,90990.0,129990.0,Running,,40.0,30.0
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Sintético,Goma,Toda temporada,China,,Tenis Moda Bearcliff Rofy Hombre,4.9,Código: 882760277,,,,,,,
Skechers,Tenis moda,Niña,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Moda Skechers Microspecmax Epicbri para Niña Velcro,5.0,Código: 72838559,,,189900.0,,,,
Diadora,Tenis moda,Niña,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis moda Diadora Girl Bamtela para Niña Velcro,,Código: 883031232,,,119990.0,,,,
Diadora,Tenis deportivos,Mujer,Normal,Sintético,,Goma,Toda temporada,Vietnam,Sintético,Tenis Diadora para Mujer Running Snipe | Zapatillas para mujer Diadora,4.4,Código: 882861322,131990.0,153990.0,219990.0,Running,Sintético,40.0,30.0
Diadora,Tenis moda,Niña,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis moda Diadora Girl Bamtela para Niña Velcro,,Código: 883031062,,,119990.0,,,,
Puma,Tenis moda,Hombre,Normal,Sintético,,Caucho,Toda temporada,China,Textil,Tenis Puma para Hombre Moda Rebound Layup Sl,5.0,Código: 72716137,,,459990.0,,Textil,,
On Running,Tenis deportivos,Mujer,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis On Running para Mujer Running Cloudrunner | Zapatillas On Running deportivas para Mujer color Blanco,,Código: 72883490,,,899990.0,Running,,,
Sybilla,Tenis moda,Mujer,Normal,Sintético,Poliéster,Goma,Toda temporada,China,Poliéster,Tenis Sybilla para Mujer Moda Hohanitane,5.0,Código: 882994365,,,139990.0,Lifestyle,,,
Skechers,Tenis con luces,Niña,Normal,Tela,,Goma,Toda temporada,China,Poliéster,Tenis con luces Skechers Flutterheartlights B para Niña Velcro,4.0,Código: 72794593,160889.99999999997,183890.0,229900.0,,Poliéster,30.02,20.01
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Sintético,Toda temporada,China,Malla (Nylon),Tenis Bearcliff para Hombre Moda Askar3 Negro,5.0,Código: 882994904,103990.0,,,Lifestyle,,,
Warner,Tenis con luces,Niño,Normal,Sintético,Poliéster,Caucho,Toda temporada,China,Poliéster,Tenis con Luces Batman Warner para Niño,,Código: 882993879,83990.0,97990.0,139990.0,,,40.0,30.0
Bearcliff,Tenis moda,Hombre,Normal,Sintético,Malla (nylon),Caucho,Toda temporada,China,Malla (Nylon),Tenis Bearcliff para Hombre Moda Acreta,3.0,Código: 883028586,,,139990.0,Lifestyle,,,
Nike,Tenis deportivos,Hombre,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Nike para Hombre Running Quest 5,4.8,Código: 53881228,,,327990.0,Running,,,
Veja,Tenis moda,Hombre,Normal,Cuero,,Caucho,Toda temporada,Brasil,Textil,Tenis Veja para Hombre Moda Campo,5.0,Código: 72783335,,,949990.0,,Poliéster,,
Disney,Tenis moda,Mujer,Normal,Tela,Sintético,Caucho,Toda temporada,China,Sintético,Tenis Disney para Mujer Moda Bealtdis4,5.0,Código: 882994360,,,139990.0,Lifestyle,,,
Nike,Tenis,Mujer,Normal,Sintético,Textil,Goma,Toda temporada,Vietnam,Poliéster,Tenis Nike para Mujer Running React Infinity 3,5.0,Código: 72715001,566990.0,647990.0,809990.0,Running,,30.0,20.0
Converse,Tenis moda,Hombre,Normal,Sintético,Textil,Caucho,Toda temporada,Vietnam,Poliéster,Tenis Converse Pro Blaze V2 | Tenis de moda Converse,5.0,Código: 72763258,328990.0,375990.0,469990.0,,,30.0,20.0
On Running,Tenis deportivos,Hombre,Normal,Sintético,Sintético,Caucho,Toda temporada,Vietnam,Sintético,Tenis On Running Hombre Running Cloudrunner,5.0,Código: 67425212,,,899990.0,Running,,,
Asics,Tenis moda,Niño,Normal,Sintético,Poliéster,Caucho,Toda temporada,Camboya,Poliéster,Tenis Asics Gel Resolution 9 para Niño | Zapatillas Asics Gel Resolution 9 para Niño,,Código: 72835919,221990.0,258990.0,369990.0,,,40.0,30.0
Converse,Tenis moda,Unisex,Normal,Tela,Textil,Caucho,Toda temporada,Vietnam,,Tenis Moda Converse Run Star Hike Unisex,4.3,Código: 71197856,,,,,,,
Sybilla,Tenis moda,Mujer,Normal,Sintético,Sintético,Sintético,Toda temporada,China,,Tenis Moda Sybilla Cersy Mujer,4.7,Código: 882660134,,,,,,,
Nike,Tenis moda,Mujer,Normal,Cuero,Poliéster,Caucho,Toda temporada,Indonesia,Poliéster,Tenis Nike para Mujer Moda W Dunk Low Se| Zapatillas Nike para Mujer Dunk,,Código: 72825958,,,684950.0,,,,
Adidas,Tenis moda,Hombre,Normal,Cuero,Textil,Caucho,Toda temporada,Vietnam,Textil,Tenis Adidas para Hombre Moda Grand Court Alpha,5.0,Código: 72824904,,,449950.0,,,,
